"Jahr","DB_Fernverkehr","DB_Regio","DB_Cargo"
2015,75.1,71.3,64
2016,76.7,68.6,NA
2017,77.2,68.1,67
2018,77.1,66.3,60
2019,76.5,66.1,61
2020,80.2,69,68
2021,77.8,71.6,70
2022,74.8,70.1,67
